,country,calories,areami,population,densitymi
145,Mongolia,2240,603902,3238479,5.4
146,Botswana,2230,224607,2302878,10.3
147,Uganda,2220,93263,40006700,429
148,Zimbabwe,2210,150872,15159624,100
149,Liberia,2200,37466,4475353,119
150,Tajikistan,2190,55251,9127000,165
151,Cambodia,2180,69898,16289270,233
152,Guatemala,2150,42042,17679735,421
153,Malawi,2150,45747,17563749,384
154,Togo,2150,21853,7538000,345
155,Madagascar,2130,226658,25680342,113
156,Sierra Leone,2120,27699,7901454,285
157,North Korea,2110,46541,25549604,549
158,Bolivia,2100,424164,11307314,27
159,Rwanda,2090,10169,12374397,1217
160,Palestine,2080,2324,4976684,2141
161,Mozambique,2070,308642,28571310,93
162,Yemen,2050,175676,28915284,165
163,Kenya,2030,224647,47564296,212
164,Timor-Leste,2020,5760,1167242,203
165,Tanzania,2020,364900,55890747,153
166,Chad,2010,495755,15353184,31
167,Angola,1960,481354,29250009,61
168,Central African Republic,1960,240324,4737423,20
169,Ethiopia,1950,410678,107534882,262
170,Zambia,1880,290585,16405229,56
171,Haiti,1850,10450,11263077,1078
172,Comoros,1840,719,873724,1216
173,Burundi,1680,10740,11215578,1044
174,Eritrea,1590,46757,3497117,75
